time	base_heading	R_eye	L_eye
0.000	-1.570796	0.000000	0.000000
0.005	-1.570921	-0.130452	-0.069063
0.010	-1.572471	-0.297079	-0.157277
0.015	-1.577146	-0.463974	-0.245633
0.020	-1.586282	-0.617679	-0.327548
0.025	-1.600560	-0.590785	-0.321263
0.030	-1.618928	-0.546734	-0.306599
0.035	-1.640000	-0.502557	-0.291874
0.040	-1.662690	-0.459605	-0.277147
0.045	-1.686182	-0.433454	-0.262421
0.050	-1.709942	-0.408898	-0.247695
0.055	-1.733594	-0.384354	-0.232969
0.060	-1.756847	-0.359811	-0.217629
0.065	-1.779468	-0.335267	-0.193889
0.070	-1.801225	-0.310723	-0.169351
0.075	-1.821920	-0.286179	-0.144808
0.080	-1.841402	-0.261943	-0.120571
0.085	-1.859564	-0.241906	-0.100534
0.090	-1.876373	-0.222268	-0.080896
0.095	-1.891821	-0.202633	-0.061261
0.100	-1.905901	-0.183305	-0.041933
0.105	-1.918621	-0.168176	-0.026805
0.110	-1.930036	-0.153447	-0.012076
0.115	-1.940204	-0.138721	0.002651
0.120	-1.949174	-0.124302	0.017070
0.125	-1.956992	-0.114082	0.027290
0.130	-1.963744	-0.104262	0.037110
0.135	-1.969513	-0.094444	0.046928
0.140	-1.974367	-0.084933	0.056438
0.145	-1.978362	-0.079623	0.061749
0.150	-1.981508	-0.074711	0.066661
0.155	-1.983940	-0.069802	0.071569
0.160	-1.985820	-0.065200	0.076478
0.165	-1.987274	-0.064798	0.081387
0.170	-1.988394	-0.064795	0.086296
0.175	-1.989136	-0.064795	0.091204
0.180	-1.989501	-0.064489	0.095806
0.185	-1.989535	-0.059982	0.096208
0.190	-1.989275	-0.055076	0.096211
0.195	-1.988748	-0.050167	0.096211
0.200	-1.987974	-0.045565	0.096211
0.205	-1.986977	-0.045163	0.096211
0.210	-1.985797	-0.045160	0.096211
0.215	-1.984476	-0.045160	0.096211
0.220	-1.983046	-0.045160	0.096211
0.225	-1.981532	-0.045160	0.096211
0.230	-1.979952	-0.045160	0.096211
0.235	-1.978322	-0.045160	0.096211
0.240	-1.976653	-0.045160	0.096211
0.245	-1.974954	-0.045160	0.096211
0.250	-1.973231	-0.045160	0.096211
0.255	-1.971491	-0.045160	0.096211
0.260	-1.969736	-0.045160	0.096211
0.265	-1.967971	-0.045160	0.096211
0.270	-1.966198	-0.045160	0.096211
0.275	-1.964418	-0.045160	0.096211
0.280	-1.962633	-0.046081	0.095598
0.285	-1.960872	-0.059601	0.086584
0.290	-1.959302	-0.074318	0.076773
0.295	-1.958074	-0.089045	0.066955
0.300	-1.957243	-0.102544	0.057751
0.305	-1.956925	-0.099243	0.056947
0.310	-1.957020	-0.094346	0.056941
0.315	-1.957396	-0.089437	0.056941
0.320	-1.957950	-0.084835	0.056941
0.325	-1.958608	-0.084433	0.056941
0.330	-1.959337	-0.084430	0.056941
0.335	-1.960121	-0.084430	0.056941
0.340	-1.960947	-0.084430	0.056941
0.345	-1.961806	-0.084430	0.056941
0.350	-1.962690	-0.084430	0.056941
0.355	-1.963594	-0.084430	0.056941
0.360	-1.964512	-0.084430	0.057248
0.365	-1.965437	-0.084430	0.061755
0.370	-1.966323	-0.084430	0.066661
0.375	-1.967037	-0.084430	0.071569
0.380	-1.967588	-0.084430	0.076171
0.385	-1.968014	-0.084430	0.076573
0.390	-1.968344	-0.084430	0.076576
0.395	-1.968599	-0.084430	0.076576
0.400	-1.968796	-0.084430	0.076576
0.405	-1.968948	-0.084430	0.076576
0.410	-1.969066	-0.084430	0.076576
0.415	-1.969157	-0.084430	0.076576
0.420	-1.969227	-0.084430	0.076576
0.425	-1.969281	-0.084430	0.076576
0.430	-1.969323	-0.084430	0.076576
0.435	-1.969356	-0.084430	0.076576
0.440	-1.969381	-0.084430	0.076576
0.445	-1.969400	-0.084430	0.076576
0.450	-1.969415	-0.084430	0.076576
0.455	-1.969427	-0.084430	0.076576
0.460	-1.969436	-0.084430	0.076576
0.465	-1.969443	-0.084430	0.076576
0.470	-1.969448	-0.084430	0.076576
0.475	-1.969452	-0.084430	0.076576
0.480	-1.969456	-0.084430	0.076576
0.485	-1.969458	-0.084430	0.076576
0.490	-1.969460	-0.084430	0.076576
0.495	-1.969461	-0.084430	0.076576
0.500	-1.969463	-0.084430	0.076576
0.505	-1.969464	-0.084430	0.076576
0.510	-1.969464	-0.084430	0.076576
0.515	-1.969465	-0.084430	0.076576
0.520	-1.969465	-0.084430	0.076576
0.525	-1.969465	-0.084430	0.076576
0.530	-1.969466	-0.084430	0.076576
0.535	-1.969466	-0.084430	0.076576
0.540	-1.969466	-0.084430	0.076576
0.545	-1.969466	-0.084430	0.076576
0.550	-1.969466	-0.084430	0.076576
0.555	-1.969466	-0.084430	0.076576
0.560	-1.969466	-0.084430	0.076576
0.565	-1.969466	-0.084430	0.076576
0.570	-1.969466	-0.084430	0.076576
0.575	-1.969466	-0.084430	0.076576
0.580	-1.969466	-0.072465	0.087314
0.585	-1.969117	0.103299	0.245051
0.590	-1.966276	0.294623	0.416753
0.595	-1.958613	0.486063	0.588558
0.600	-1.944314	0.660937	0.745944
0.605	-1.922526	0.609012	0.705932
0.610	-1.895085	0.535542	0.647167
0.615	-1.864314	0.461912	0.588263
0.620	-1.832031	0.390122	0.530892
0.625	-1.799580	0.343532	0.494521
0.630	-1.767728	0.299335	0.460145
0.635	-1.736972	0.255156	0.425784
0.640	-1.707692	0.213125	0.391730
0.645	-1.680137	0.200494	0.361875
0.650	-1.654305	0.190656	0.332420
0.655	-1.630121	0.180838	0.302967
0.660	-1.607524	0.169793	0.273822
0.665	-1.586487	0.141949	0.248876
0.670	-1.567059	0.112508	0.224329
0.675	-1.549308	0.083056	0.199786
0.680	-1.533285	0.054217	0.175856
0.685	-1.519010	0.033778	0.160325
0.690	-1.506396	0.014137	0.145593
0.695	-1.495344	-0.005498	0.130867
0.700	-1.485774	-0.023906	0.117061
0.705	-1.477587	-0.025513	0.115855
0.710	-1.470532	-0.025525	0.115846
0.715	-1.464355	-0.025525	0.115846
0.720	-1.458857	-0.026446	0.114619
0.725	-1.453921	-0.039966	0.096592
0.730	-1.449631	-0.054683	0.076969
0.735	-1.446139	-0.069410	0.057334
0.740	-1.443482	-0.083215	0.038926
0.745	-1.441730	-0.084421	0.037318
0.750	-1.440752	-0.084430	0.037307
0.755	-1.440373	-0.084430	0.037306
0.760	-1.440458	-0.084430	0.037306
0.765	-1.440900	-0.084430	0.037306
0.770	-1.441620	-0.084430	0.037306
0.775	-1.442554	-0.084430	0.037306
0.780	-1.443653	-0.084430	0.037306
0.785	-1.444880	-0.084430	0.037306
0.790	-1.446206	-0.084430	0.037306
