Time	Base Heading	R_Eye	L_Eye	Search Heading
0.000	-1.570796	0.000000	0.000000	-0.375944
0.005	-1.563242	0.133178	0.133178	-0.375944
0.010	-1.535622	0.302169	0.302169	-0.375944
0.015	-1.492570	0.404259	0.404259	-0.375944
0.020	-1.438366	0.459891	0.459891	-0.375944
0.025	-1.376534	0.484404	0.484404	-0.375944
0.030	-1.309946	0.488080	0.488080	-0.375944
0.035	-1.240917	0.477884	0.477884	-0.375944
0.040	-1.171286	0.458597	0.458597	-0.375944
0.045	-1.102488	0.433546	0.433546	-0.375944
0.050	-1.035621	0.405074	0.405074	-0.375944
0.055	-0.971497	0.374844	0.374844	-0.375944
0.060	-0.910697	0.344043	0.344043	-0.375944
0.065	-0.853607	0.313517	0.313517	-0.375944
0.070	-0.800457	0.283864	0.283864	-0.375944
0.075	-0.751353	0.255495	0.255495	-0.375944
0.080	-0.706299	0.228687	0.228687	-0.375944
0.085	-0.665225	0.203611	0.203611	-0.375944
0.090	-0.628001	0.180358	0.180358	-0.375944
0.095	-0.594455	0.158960	0.158960	-0.375944
0.100	-0.564386	0.139405	0.139405	-0.375944
0.105	-0.537570	0.121646	0.121646	-0.375944
0.110	-0.513777	0.105612	0.105612	-0.375944
0.115	-0.492769	0.091215	0.091215	-0.375944
0.120	-0.474312	0.078357	0.078357	-0.375944
0.125	-0.458176	0.066931	0.066931	-0.375944
0.130	-0.444138	0.056828	0.056828	-0.375944
0.135	-0.431990	0.047939	0.047939	-0.375944
0.140	-0.421531	0.040158	0.040158	-0.375944
0.145	-0.412577	0.033379	0.033379	-0.375944
0.150	-0.404955	0.027503	0.027503	-0.375944
0.155	-0.398509	0.022438	0.022438	-0.375944
0.160	-0.393093	0.018094	0.018094	-0.375944
0.165	-0.388577	0.014391	0.014391	-0.375944
0.170	-0.384842	0.011253	0.011253	-0.173186
0.175	-0.380499	0.031234	0.031234	-0.173186
0.180	-0.373331	0.057695	0.057695	-0.173186
0.185	-0.364040	0.073184	0.073184	-0.173186
0.190	-0.353279	0.081117	0.081117	-0.173186
0.195	-0.341579	0.084053	0.084053	-0.173186
0.200	-0.329370	0.083694	0.083694	-0.173186
0.205	-0.316995	0.081186	0.081186	-0.173186
0.210	-0.304722	0.077309	0.077309	-0.173186
0.215	-0.292757	0.072600	0.072600	-0.173186
0.220	-0.281255	0.067431	0.067431	-0.173186
0.225	-0.270326	0.062065	0.062065	-0.173186
0.230	-0.260044	0.056684	0.056684	-0.173186
0.235	-0.250457	0.051416	0.051416	-0.173186
0.240	-0.241586	0.046349	0.046349	-0.173186
0.245	-0.233437	0.041542	0.041542	-0.173186
0.250	-0.225998	0.037032	0.037032	-0.173186
0.255	-0.219248	0.032841	0.032841	-0.173186
0.260	-0.213159	0.028976	0.028976	-0.173186
0.265	-0.207695	0.025438	0.025438	-0.173186
0.270	-0.202817	0.022221	0.022221	-0.173186
0.275	-0.198485	0.019312	0.019312	-0.173186
0.280	-0.194656	0.016698	0.016698	-0.173186
0.285	-0.191289	0.014360	0.014360	-0.173186
0.290	-0.188342	0.012280	0.012280	-0.173186
0.295	-0.185776	0.010440	0.010440	-0.173186
0.300	-0.183552	0.008819	0.008819	-0.173186
0.305	-0.179876	0.052578	0.052578	0.905550
0.310	-0.160124	0.226124	0.226124	0.905550
0.315	-0.124924	0.339203	0.339203	0.905550
0.320	-0.078412	0.403292	0.403292	0.905550
0.325	-0.026140	0.468288	0.481744	0.905550
0.330	0.022663	0.575422	0.622844	0.905550
0.335	0.069830	0.683408	0.765188	0.905550
0.340	0.117736	0.791401	0.907541	0.905550
0.345	0.168115	0.781787	0.906474	0.905550
0.350	0.220599	0.689390	0.804450	0.905550
0.355	0.273262	0.596131	0.701374	0.905550
0.360	0.324491	0.502865	0.598291	0.905550
0.365	0.373058	0.423941	0.526760	0.905550
0.370	0.418311	0.355113	0.477439	0.905550
0.375	0.460039	0.286390	0.428350	0.905550
0.380	0.498097	0.217667	0.379263	0.905550
0.385	0.532389	0.177629	0.338781	0.905550
0.390	0.563086	0.157782	0.304356	0.905550
0.395	0.590552	0.138146	0.269994	0.905550
0.400	0.615089	0.118511	0.235633	0.905550
0.405	0.636928	0.093139	0.207009	0.905550
0.410	0.656250	0.063729	0.182423	0.905550
0.415	0.673193	0.034277	0.157879	0.905550
0.420	0.687865	0.004824	0.133335	0.905550
0.425	0.700354	-0.016023	0.114528	0.905550
0.430	0.710442	-0.030813	0.099760	0.905550
0.435	0.718241	-0.045539	0.085033	0.905550
0.440	0.724270	-0.060266	0.070307	0.905550
0.445	0.728931	-0.066387	0.064186	0.905550
0.450	0.732534	-0.066450	0.064122	0.905550
0.455	0.735320	-0.066451	0.064122	0.905550
0.460	0.737473	-0.066451	0.064122	0.905550
0.465	0.739138	-0.066451	0.064122	0.905550
0.470	0.740425	-0.066451	0.064122	0.905550
0.475	0.741420	-0.066451	0.064122	0.905550
0.480	0.742189	-0.066451	0.064122	0.905550
0.485	0.742784	-0.066451	0.064122	0.905550
0.490	0.743244	-0.066451	0.064122	0.905550
0.495	0.743599	-0.066451	0.064122	0.905550
0.500	0.743874	-0.066451	0.064122	0.905550
0.505	0.744086	-0.066451	0.064122	0.905550
0.510	0.744250	-0.066451	0.064122	0.905550
0.515	0.744377	-0.066451	0.064122	0.905550
0.520	0.744475	-0.066451	0.064122	0.905550
0.525	0.744551	-0.066451	0.064122	0.905550
0.530	0.744610	-0.066451	0.064122	0.905550
0.535	0.744655	-0.066451	0.064122	0.905550
0.540	0.744690	-0.066451	0.064122	0.905550
0.545	0.744717	-0.066451	0.064122	0.905550
0.550	0.744738	-0.066451	0.064122	0.905550
0.555	0.744755	-0.066451	0.064122	0.905550
0.560	0.744767	-0.066451	0.064122	0.905550
0.565	0.744777	-0.066451	0.064122	0.905550
0.570	0.744784	-0.066451	0.064122	0.905550
0.575	0.744790	-0.066451	0.064122	0.905550
0.580	0.744794	-0.066451	0.064122	0.905550
0.585	0.744798	-0.066451	0.064122	0.905550
0.590	0.744801	-0.066451	0.064122	0.905550
0.595	0.744803	-0.066451	0.064122	0.905550
0.600	0.744804	-0.066451	0.064122	0.905550
0.605	0.744806	-0.066451	0.064122	0.905550
0.610	0.744806	-0.066451	0.064122	0.905550
0.615	0.744807	-0.066451	0.064122	0.905550
0.620	0.744808	-0.066451	0.064122	0.905550
0.625	0.744808	-0.066451	0.064122	0.905550
0.630	0.744809	-0.066451	0.064122	0.905550
0.635	0.744809	-0.066451	0.064122	0.905550
0.640	0.744809	-0.066451	0.064122	0.905550
0.645	0.744809	-0.066451	0.064122	0.905550
0.650	0.744809	-0.066451	0.064122	0.905550
0.655	0.744809	-0.066451	0.064122	0.905550
0.660	0.744809	-0.066451	0.064122	0.905550
