time	x error	y error	L0 error	L1 error	R0 error	R1 error	L eye error	R eye error
0	0.000000	-0.170000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	0.000000	-0.170000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	-1.460337	-0.170000	0.000000	0.000000	0.000000	0.000000	-1.043098	-1.043098
6	-1.459879	-0.168742	0.000000	0.000000	0.000000	0.000000	-1.016589	-1.016589
8	-1.458524	-0.165036	0.000000	0.000000	0.000000	0.000000	-0.960566	-0.960566
10	-1.456298	-0.159022	0.000000	0.000000	0.000000	0.000000	-0.902225	-0.902225
12	-1.453219	-0.150845	0.000000	0.000000	0.000000	0.000000	-0.845796	-0.845796
14	-1.449295	-0.140651	0.000000	0.000000	0.000000	0.000000	-0.791855	-0.791855
16	-1.444527	-0.128590	0.000000	0.000000	0.000000	0.000000	-0.740395	-0.740395
18	-1.438912	-0.114810	0.000000	0.000000	0.000000	0.000000	-0.691326	-0.691326
20	-1.432442	-0.099460	0.000000	0.000000	0.000000	0.000000	-0.644544	-0.644544
22	-1.425109	-0.082690	0.000000	0.000000	0.000000	0.000000	-0.599950	-0.599950
24	-1.416901	-0.064645	0.000000	0.000000	0.000000	0.000000	-0.557448	-0.557448
26	-1.407810	-0.045473	0.000000	0.000000	0.000000	0.000000	-0.516949	-0.516949
28	-1.397828	-0.025315	0.000000	0.000000	0.000000	0.000000	-0.478364	-0.478364
30	-1.386948	-0.004311	0.000000	0.000000	0.000000	0.000000	-0.441611	-0.441611
32	-1.375167	0.017401	0.000000	0.000000	0.000000	0.000000	-0.406611	-0.406611
34	-1.362485	0.039689	0.000000	0.000000	0.000000	0.000000	-0.373289	-0.373289
36	-1.348906	0.062424	0.000000	0.000000	0.000000	0.000000	-0.341572	-0.341572
38	-1.334437	0.085481	0.000000	0.000000	0.000000	0.000000	-0.311392	-0.311392
40	-1.319091	0.108742	0.000000	0.000000	0.000000	0.000000	-0.282682	-0.282682
42	-1.302884	0.132092	0.000000	0.000000	0.000000	0.000000	-0.255380	-0.255380
44	-1.285837	0.155422	0.000000	0.000000	0.000000	0.000000	-0.229425	-0.229425
46	-1.267974	0.178628	0.000000	0.000000	0.000000	0.000000	-0.204761	-0.204761
48	-1.249324	0.201614	0.000000	0.000000	0.000000	0.000000	-0.181332	-0.181332
50	-1.229921	0.224288	0.000000	0.000000	0.000000	0.000000	-0.159085	-0.159085
52	-1.209801	0.246564	0.000000	0.000000	0.000000	0.000000	-0.137970	-0.137970
54	-1.189004	0.268363	0.000000	0.000000	0.000000	0.000000	-0.117939	-0.117939
56	-1.167573	0.289614	0.000000	0.000000	0.000000	0.000000	-0.098946	-0.098946
58	-1.145553	0.310249	0.000000	0.000000	0.000000	0.000000	-0.080947	-0.080947
60	-1.122994	0.330208	0.000000	0.000000	0.000000	0.000000	-0.063898	-0.063898
62	-1.099945	0.349439	0.000000	0.000000	0.000000	0.000000	-0.047761	-0.047761
64	-1.076458	0.367893	0.000000	0.000000	0.000000	0.000000	-0.032495	-0.032495
66	-1.052585	0.385528	0.000000	0.000000	0.000000	0.000000	-0.018064	-0.018064
68	-1.028382	0.402311	0.000000	0.000000	0.000000	0.000000	-0.004433	-0.004433
70	-1.003901	0.418210	0.000000	0.000000	0.000000	0.000000	0.008435	0.008435
72	-0.979197	0.433203	0.000000	0.000000	0.000000	0.000000	0.020570	0.020570
74	-0.954325	0.447270	0.000000	0.000000	0.000000	0.000000	0.032004	0.032004
76	-0.929337	0.460399	0.000000	0.000000	0.000000	0.000000	0.042768	0.042768
78	-0.904288	0.472581	0.000000	0.000000	0.000000	0.000000	0.052891	0.052891
80	-0.879228	0.483812	0.000000	0.000000	0.000000	0.000000	0.062400	0.062400
82	-0.854207	0.494094	0.000000	0.000000	0.000000	0.000000	0.071321	0.071321
84	-0.829275	0.503430	0.000000	0.000000	0.000000	0.000000	0.079681	0.079681
86	-0.804479	0.511831	0.000000	0.000000	0.000000	0.000000	0.087504	0.087504
88	-0.779862	0.519307	0.000000	0.000000	0.000000	0.000000	0.094814	0.094814
90	-0.755468	0.525874	0.000000	0.000000	0.000000	0.000000	0.101633	0.101633
92	-0.731337	0.531551	0.000000	0.000000	0.000000	0.000000	0.107982	0.107982
94	-0.707507	0.536359	0.000000	0.000000	0.000000	0.000000	0.113883	0.113883
96	-0.684014	0.540321	0.000000	0.000000	0.000000	0.000000	0.119356	0.119356
98	-0.660890	0.543463	0.000000	0.000000	0.000000	0.000000	0.124419	0.124419
100	-0.638167	0.545811	0.000000	0.000000	0.000000	0.000000	0.129092	0.129092
102	-0.615872	0.547395	0.000000	0.000000	0.000000	0.000000	0.133392	0.133392
104	-0.594031	0.548245	0.000000	0.000000	0.000000	0.000000	0.137336	0.137336
106	-0.572665	0.548392	0.000000	0.000000	0.000000	0.000000	0.140940	0.140940
108	-0.551797	0.547868	0.000000	0.000000	0.000000	0.000000	0.144221	0.144221
110	-0.531442	0.546706	0.000000	0.000000	0.000000	0.000000	0.147192	0.147192
112	-0.511617	0.544938	0.000000	0.000000	0.000000	0.000000	0.149869	0.149869
114	-0.492335	0.542597	0.000000	0.000000	0.000000	0.000000	0.152266	0.152266
116	-0.473606	0.539718	0.000000	0.000000	0.000000	0.000000	0.154395	0.154395
118	-0.455439	0.536333	0.000000	0.000000	0.000000	0.000000	0.156271	0.156271
120	-0.437840	0.532475	0.000000	0.000000	0.000000	0.000000	0.157904	0.157904
122	-0.420814	0.528176	0.000000	0.000000	0.000000	0.000000	0.159308	0.159308
124	-0.404364	0.523469	0.000000	0.000000	0.000000	0.000000	0.160492	0.160492
126	-0.388489	0.518384	0.000000	0.000000	0.000000	0.000000	0.161469	0.161469
128	-0.373191	0.512952	0.000000	0.000000	0.000000	0.000000	0.162249	0.162249
130	-0.358465	0.507204	0.000000	0.000000	0.000000	0.000000	0.162841	0.162841
132	-0.344309	0.501167	0.000000	0.000000	0.000000	0.000000	0.163256	0.163256
134	-0.330716	0.494871	0.000000	0.000000	0.000000	0.000000	0.163503	0.163503
136	-0.317682	0.488341	0.000000	0.000000	0.000000	0.000000	0.163590	0.163590
138	-0.305197	0.481604	0.000000	0.000000	0.000000	0.000000	0.163527	0.163527
140	-0.293254	0.474684	0.000000	0.000000	0.000000	0.000000	0.163321	0.163321
142	-0.281843	0.467606	0.000000	0.000000	0.000000	0.000000	0.162980	0.162980
144	-0.270954	0.460393	0.000000	0.000000	0.000000	0.000000	0.162513	0.162513
146	-0.260576	0.453065	0.000000	0.000000	0.000000	0.000000	0.161925	0.161925
148	-0.250697	0.445643	0.000000	0.000000	0.000000	0.000000	0.161225	0.161225
