what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1354938406326
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1354938406773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1354938407469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354938420003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354938424810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354938427451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354938496608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354938544190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354938546259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354938609861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1354938619754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354938620841
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1354938625080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354938631932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354938634376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354938702061
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1354938704725
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1354938708263
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1354938711700
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1354938712367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354938713155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354938717488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354938816974
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1354938888688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354939020786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354939031259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354939046523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354939051650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354939055903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354939058722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354939060456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354939065061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354974573521
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1354974648281
