Time	Base Heading	R_Eye	L_Eye	Search Heading
0.000	-1.570796	0.000000	0.000000	-0.910739
0.005	-1.569007	0.031212	0.061968	-0.910739
0.010	-1.566581	0.046719	0.155110	-0.910739
0.015	-1.563171	0.061451	0.248375	-0.910739
0.020	-1.558123	0.076177	0.341641	-0.910739
0.025	-1.550979	0.073693	0.360328	-0.910739
0.030	-1.541987	0.059094	0.326518	-0.910739
0.035	-1.531916	0.044368	0.292161	-0.910739
0.040	-1.521404	0.029642	0.257800	-0.910739
0.045	-1.510933	0.023521	0.243518	-0.910739
0.050	-1.500687	0.023458	0.243370	-0.910739
0.055	-1.490629	0.023457	0.243369	-0.910739
0.060	-1.480716	0.023457	0.243369	-0.910739
0.065	-1.470926	0.009115	0.231895	-0.910739
0.070	-1.461410	-0.015323	0.212345	-0.910739
0.075	-1.452448	-0.039866	0.192710	-0.910739
0.080	-1.444267	-0.064409	0.173075	-0.910739
0.085	-1.437293	-0.074611	0.164914	-0.910739
0.090	-1.431886	-0.074717	0.164829	-0.910739
0.095	-1.427706	-0.074718	0.164829	-0.910739
0.100	-1.424475	-0.074718	0.164829	-0.910739
0.105	-1.421977	-0.080455	0.156223	-0.910739
0.110	-1.420046	-0.090230	0.141561	-0.910739
0.115	-1.418553	-0.100047	0.126835	-0.910739
0.120	-1.417398	-0.109864	0.112109	-0.910739
0.125	-1.416506	-0.111077	0.108856	-0.910739
0.130	-1.415816	-0.106231	0.113680	-0.910739
0.135	-1.415283	-0.101323	0.118588	-0.910739
0.140	-1.414871	-0.096414	0.123497	-0.910739
0.145	-1.414552	-0.094374	0.125537	-0.910739
0.150	-1.414306	-0.094353	0.125559	-0.910739
0.155	-1.414115	-0.094353	0.125559	-0.910739
0.160	-1.413968	-0.094353	0.125559	-0.910739
0.165	-1.413854	-0.094353	0.125559	-0.910739
0.170	-1.413766	-0.094353	0.125559	-0.910739
0.175	-1.413698	-0.094353	0.125559	-0.910739
0.180	-1.413646	-0.094353	0.125559	-0.910739
0.185	-1.413605	-0.094353	0.125559	-0.910739
0.190	-1.413574	-0.094353	0.125559	-0.910739
0.195	-1.413549	-0.094353	0.125559	-0.910739
0.200	-1.413530	-0.094353	0.125559	-0.910739
0.205	-1.413516	-0.094353	0.125559	-0.910739
0.210	-1.413505	-0.094353	0.125559	-0.910739
0.215	-1.413496	-0.094353	0.125559	-0.910739
0.220	-1.413489	-0.094353	0.125559	-0.910739
0.225	-1.413484	-0.094353	0.125559	-0.910739
0.230	-1.413480	-0.094353	0.125559	-0.910739
0.235	-1.413477	-0.094353	0.125559	-0.910739
0.240	-1.413475	-0.094353	0.125559	-0.910739
0.245	-1.413473	-0.094353	0.125559	-0.910739
0.250	-1.413471	-0.094353	0.125559	-0.910739
0.255	-1.413470	-0.094353	0.125559	-0.910739
0.260	-1.413469	-0.094353	0.125559	-0.910739
0.265	-1.413469	-0.094353	0.125559	-0.910739
0.270	-1.413468	-0.094353	0.125559	-0.910739
0.275	-1.413468	-0.094353	0.125559	-0.910739
0.280	-1.413468	-0.094353	0.125559	-0.910739
0.285	-1.413467	-0.094353	0.125559	-0.910739
0.290	-1.413467	-0.094353	0.125559	-0.910739
0.295	-1.413467	-0.094353	0.125559	-0.910739
0.300	-1.413467	-0.094353	0.125559	-0.910739
0.305	-1.413467	-0.094353	0.125559	-0.910739
0.310	-1.413467	-0.094353	0.125559	-0.910739
0.315	-1.413467	-0.094353	0.125559	-0.910739
0.320	-1.413467	-0.094353	0.125559	-0.910739
0.325	-1.413467	-0.094353	0.125559	-0.910739
0.330	-1.413467	-0.094353	0.125559	-0.910739
0.335	-1.413467	-0.094353	0.125559	-0.910739
0.340	-1.413467	-0.094353	0.125559	-0.910739
0.345	-1.413467	-0.094353	0.125559	-0.910739
0.350	-1.413467	-0.094353	0.125559	-0.910739
0.355	-1.413467	-0.094353	0.125559	-0.910739
0.360	-1.413466	-0.094353	0.125559	-0.910739
0.365	-1.413466	-0.094353	0.125559	-0.910739
0.370	-1.413466	-0.094353	0.125559	-0.910739
0.375	-1.413466	-0.094353	0.125559	-0.910739
0.380	-1.413466	-0.094353	0.125559	-0.910739
0.385	-1.413466	-0.094353	0.125559	-0.910739
0.390	-1.413466	-0.094353	0.125559	-0.910739
0.395	-1.413466	-0.094353	0.125559	-0.910739
0.400	-1.413466	-0.094353	0.125559	-0.910739
0.405	-1.413466	-0.094353	0.125559	-0.910739
0.410	-1.413466	-0.094353	0.125559	-0.910739
0.415	-1.413466	-0.094353	0.125559	-0.910739
0.420	-1.413466	-0.094353	0.125559	-0.910739
0.425	-1.413444	-0.016905	0.191533	-0.910739
0.430	-1.412267	0.115058	0.303946	-0.910739
0.435	-1.408157	0.247590	0.416843	-0.910739
0.440	-1.399814	0.380126	0.529744	-0.910739
0.445	-1.386308	0.412267	0.556593	-0.910739
0.450	-1.368137	0.373739	0.522867	-0.910739
0.455	-1.346863	0.334475	0.488511	-0.910739
0.460	-1.323778	0.295205	0.454150	-0.910739
0.465	-1.299875	0.270277	0.425525	-0.910739
0.470	-1.275791	0.255445	0.400939	-0.910739
0.475	-1.251889	0.240718	0.376395	-0.910739
0.480	-1.228444	0.225992	0.351852	-0.910739
0.485	-1.205666	0.208397	0.330176	-0.910739
0.490	-1.183719	0.188783	0.310520	-0.910739
0.495	-1.162728	0.169148	0.290885	-0.910739
0.500	-1.142790	0.149513	0.271250	-0.910739
0.505	-1.123985	0.127010	0.248747	-0.910739
0.510	-1.106409	0.102488	0.224224	-0.910739
0.515	-1.090173	0.077944	0.199681	-0.910739
0.520	-1.075367	0.053400	0.175137	-0.910739
0.525	-1.062053	0.037462	0.156330	-0.910739
0.530	-1.050187	0.027581	0.141562	-0.910739
0.535	-1.039643	0.017763	0.126835	-0.910739
0.540	-1.030318	0.007945	0.112109	-0.910739
0.545	-1.022133	-0.004740	0.100251	-0.910739
0.550	-1.015397	-0.019446	0.090412	-0.910739
0.555	-1.010189	-0.034172	0.080595	-0.910739
0.560	-1.006164	-0.048898	0.070777	-0.910739
0.565	-1.003052	-0.055019	0.066697	-0.910739
0.570	-1.000646	-0.055082	0.066654	-0.910739
0.575	-0.998786	-0.055083	0.066654	-0.910739
0.580	-0.997348	-0.055083	0.066654	-0.910739
0.585	-0.996236	-0.055083	0.066654	-0.910739
0.590	-0.995377	-0.055083	0.066654	-0.910739
0.595	-0.994713	-0.055083	0.066654	-0.910739
0.600	-0.994199	-0.055083	0.066654	-0.910739
