time	x	y	L0	L1	R0	R1
0	0.000000	0.300000	1.439897	-2.617994	-1.439897	2.617994
10	0.000000	0.300000	1.416606	-2.612080	-1.416606	2.612080
20	0.000000	0.300000	1.317844	-2.591215	-1.317844	2.591215
30	-0.000000	0.300000	1.192991	-2.568257	-1.192991	2.568257
40	-0.000000	0.300000	1.064227	-2.546437	-1.064227	2.546437
50	-0.000000	0.300000	0.939084	-2.526481	-0.939084	2.526481
60	-0.000000	0.300000	0.819858	-2.509064	-0.819934	2.507842
70	-0.000000	0.300000	0.705778	-2.496778	-0.707228	2.486958
80	-0.000000	0.300000	0.595312	-2.484620	-0.600016	2.466482
90	-0.000000	0.300000	0.497745	-2.463027	-0.498991	2.463976
100	-0.000000	0.300000	0.411361	-2.446073	-0.404589	2.464351
110	-0.000000	0.300000	0.330132	-2.434096	-0.315942	2.461811
120	-0.000000	0.300000	0.251197	-2.425053	-0.232288	2.455745
130	-0.000000	0.300000	0.175387	-2.418144	-0.153804	2.449540
140	-0.000000	0.300000	0.103453	-2.413035	-0.080261	2.444626
150	-0.000000	0.300000	0.035565	-2.409472	-0.011363	2.441192
160	-0.000000	0.300000	-0.028349	-2.407230	0.053103	2.439108
170	-0.000000	0.300000	-0.088444	-2.406105	0.113295	2.438154
180	0.000000	0.300000	-0.144905	-2.405906	0.169356	2.438077
190	0.000000	0.300000	-0.197911	-2.406456	0.221434	2.438636
200	0.000000	0.300000	-0.247636	-2.407595	0.269693	2.439600
210	0.000000	0.300000	-0.294244	-2.409177	0.314322	2.440741
220	0.000000	0.300000	-0.337889	-2.411071	0.355528	2.441866
230	0.000000	0.300000	-0.378722	-2.413164	0.393536	2.442825
240	0.000000	0.300000	-0.416888	-2.415357	0.428580	2.443511
250	0.000000	0.300000	-0.452531	-2.417587	0.460898	2.443862
260	0.000000	0.300000	-0.485794	-2.419815	0.490719	2.443858
270	0.000000	0.300000	-0.516818	-2.421984	0.518265	2.443502
280	0.000000	0.300000	-0.545738	-2.424041	0.543743	2.442807
290	0.000000	0.300000	-0.572686	-2.425942	0.567347	2.441800
